North Ronaldsay Airport,EGEN,"59.3687076947,-2.4325230997",9999
Aérodrome d'Ile d'Yeu,ZZZZ,"46.7175416949,-2.3893946997",9999
Casas de los Pinos Airport,ZZZZ,"39.2981986954,-2.3787199997",9999
Aeropuerto de Almería,ZZZZ,"36.8445636956,-2.3730218997",9999
Aeropuerto de Logroño-Agoncillo,ZZZZ,"42.4579577952,-2.3190908997",9999
RAF Cosford,EGWC,"52.6412932948,-2.3066295997",9999
Colerne Airport,ZZZZ,"51.4416168948,-2.2837185997",9999
Bristol and Gloucestershire Gliding Club,ZZZZ,"51.7153547948,-2.2816824997",9999
Manchester,EGCC,"53.3538888947,-2.2749999997",9999
Wolverhampton Airport,EGBO,"52.5178608948,-2.2623254997",9999
The Blaye,ZZZZ,"49.7074459948,-2.2148686997",9999
Dyce,ZZZZ,"57.2038065947,-2.2029449997",9999
Jersey Airport,EGJJ,"49.2055387948,-2.1914932997",9999
Gloucestershire Airport,EGBJ,"51.8935971948,-2.1644170997",9999
Winfield Aerodrome,ZZZZ,"55.7496624947,-2.1643403997",9999
Sotos Airport,ZZZZ,"40.2042006953,-2.1438898997",9999
LF4423,ZZZZ,"47.2710234949,-2.1293956997",9999
Keevil Airfield,ZZZZ,"51.3130973948,-2.1117766997",9999
Dinard - Pleurtuit,LFRD,"48.5887582949,-2.0777178997",9999
Kemble Airfield,ZZZZ,"51.6682952948,-2.0577746997",9999
Foula Airport,ZZZZ,"60.1229707948,-2.0541557997",9999
Oaksey Park Airfield,EGTW,"51.6309579948,-2.0160127997",9999
RAF Lyneham,EGDL,"51.5073490948,-1.9915831997",9999
Aeropuerto de Albacete-Los Llanos,ZZZZ,"38.9456597954,-1.8794148997",9999
Albacete-Los Llanos Airport,ZZZZ,"38.9485015954,-1.8635199997",9999
Donostiako aireportua - Aeropuerto de San Sebastián,ZZZZ,"43.3564990951,-1.7930095998",9999
RAF Fairford,EGVA,"51.6821999948,-1.7870999998",9999
Tatenhill Airfield,EGBM,"52.8155999947,-1.7615041998",9999
Netheravon Airfield,ZZZZ,"51.2471999948,-1.7542499998",9999
Sittles Airfield,ZZZZ,"52.7069859948,-1.7504877998",9999
Draycott Farm Aerodrome,ZZZZ,"51.4934005948,-1.7438199998",9999
Birmingham International,ZZZZ,"52.4531980948,-1.7331365998",9999
Proposed international airport of Notre Dame Des Landes,ZZZZ,"47.3593913949,-1.7260563998",9999
Aéroport de Rennes Saint-Jacques,ZZZZ,"48.0684686949,-1.7257884998",9999
Redlands Airfield,ZZZZ,"51.5613733948,-1.7039844998",9999
Lower Upham Aerodrome,ZZZZ,"51.4972762948,-1.7032703998",9999
RAF Little Rissington,ZZZZ,"51.8666625948,-1.6967799998",9999
Papa Stour Airport,ZZZZ,"60.3217009948,-1.6930599998",9999
Newcastle International,ZZZZ,"55.0375007947,-1.6916684998",9999
Leeds/Bradford Intl,ZZZZ,"53.8658346947,-1.6605579998",9999
Leeds Bradford International Airport,EGNM,"53.8699260947,-1.6592777998",9999
Aeropuerto de Pamplona,ZZZZ,"42.7659650952,-1.6419723998",9999
Derby Airfield,EGBD,"52.8596991947,-1.6174998998",9999
Wellesbourne Airfield,ZZZZ,"52.1940770948,-1.6146129998",9999
Nantes Atlantique Airport,LFRS,"47.1531981949,-1.6107300998",9999
RAF Brize Norton,EGVN,"51.7526257948,-1.5774972998",9999
Ontur Airport,ZZZZ,"38.6169013954,-1.5249999998",9999
Aérodrome Charles Lindbergh,ZZZZ,"49.2037236948,-1.5039897998",9999
Coventry Airport,EGBE,"52.3686967948,-1.4811875998",9999
Aéroport de Cherbourg-Maupertus,ZZZZ,"49.6467646948,-1.4770565998",9999
Enstone Aerodrome,ZZZZ,"51.9281666948,-1.4284999998",9999
RAF Dishforth,EGXD,"54.1384957947,-1.4192858998",9999
Aérodrome d'Avranches le Val-Saint-Père,ZZZZ,"48.6612514949,-1.3997105998",9999
Peterlee,ZZZZ,"54.7668377947,-1.3843767998",9999
RAF Topcliffe,EGXZ,"54.2054625947,-1.3828272998",9999
