ekbi,BLL,EKBI,Billund,A,C,554425.16N 0090906.40E,247,Billund Lufthavn A/S,+45 76 50 50 50,PU,1250,www.bll.dk
ekrn,RNN,EKRN,Roenne,A,C,550347.76N 0144534.41E,52,Bornholms Lufthavn,+45 56 95 26 26,PU,1050,
ekeb,EBJ,EKEB,Esbjerg,A,C,553133.39N 0083312.25E,97,Esbjerg Lufthavn,+45 76 12 14 00,PU,1100,
ekhg,,EKHG,Herning,A,C,561105.09N 0090240.02E,167,Herning Flyveplads,+45 97 14 12 44,PU,1200,
ekka,KRP,EKKA,Karup,A,M,561750.85N 0090728.66E,171,Karup Lufthavn,+45 97 10 06 10,PU,1200,www.krp.dk
ekch,CPH,EKCH,Kastrup,A,C,553704.50N 0123921.50E,17,Københavns Lufthavne,+45 32 31 32 31(Airport) +45 32 47 82 72(AIS/ARO) +45 32 48 19 00(TWR/APP),PU,1000,
ekrk,RKE,EKRK,Roskilde,A,C,553508.04N 0120753.14E,146,København Lufthavn Roskilde,+45 32 31 32 31,PU,1100,
ekvd,,EKVD,Kolding/Vamdrup,A,C,552610.62N 0091951.33E,143,Koldingegnens Lufthavn ApS,+45 75 58 18 77,PU,1100,
ekod,ODE,EKOD,Odense,A,C,552835.99N 0101951.36E,56,Det Fælleskommunale Selsk Odense Lufthavn,+45 65 95 50 72,PU,1000,
eksn,CNL,EKSN,Sindal,A,C,573012.69N 0101345.74E,92,Sindal Flyveplads I/S,+45 98 93 58 00,PU,1100,
eksb,SGD,EKSB,Soenderborg,A,C,545751.72N 0094730.23E,24,Sønderborg Lufthavn,+45 74 42 21 30,PU,1000,
ekvj,STA,EKVJ,Stauning,A,C,555924.44N 0082114.06E,17,Stauning Lufthavn,+45 97 36 90 44 or +45 97 36 91 34,PU,1000,
ekts,,EKTS,Thisted,A,C,570407.68N 0084218.81E,23,Thisted Lufthavn,+45 99 17 37 80,PU,1000,
eksp,SKS,EKSP,Vojens/Skrydstrup,A,M,551331.99N 0091550.15E,141,Flyvestation Skrydstrup/Vojens Lufthavn,+45 74 59 16 54,PU,1100,
ekyt,AAL,EKYT,Aalborg,A,M,570534.04N 0095056.99E,10,Aalborg Lufthavn,+45 98 17 11 44 (AD) +45 99 33 17 75 (TWR/APP),PU,1000,
ekah,AAR,EKAH,Aarhus,A,C,561800.06N 0103708.43E,82,Aarhus Lufthavn A/S,+45 87 75 70 00,PU,1100,
